,first_name,last_name,city,email
67,Mammie,Cisney,Montreal,mammie@cox.net
109,Tesha,Brang,Montreal,tesha@aol.com
233,Harris,Sheck,Montreal,harris@cox.net
236,Maddie,Foulds,Montreal,maddie@hotmail.com
239,Steffanie,Meinen,Montreal,steffanie.meinen@cox.net
315,Val,Bigaud,Montreal,val_bigaud@aol.com
350,Denny,Zeanah,Montreal,denny_zeanah@zeanah.com
411,Luann,Michon,Montreal,luann@cox.net
422,Verona,Jobst,Montreal,verona_jobst@jobst.org
424,Rikki,Montalgo,Montreal,rikki@montalgo.com
468,Ricki,Traux,Montreal,ricki.traux@traux.com
483,Clemencia,Momplaisir,Montreal,cmomplaisir@yahoo.com
